"origin","fin_condition","scale_cleanliness","confidence(0)","confidence(1)","prediction(competition_status)"
1.0,3.0,-0.6847877192198023,0.05260685767966181,0.9473931423203382,"1"
0.0,0.0,-0.1595011738952088,0.8854961832061069,0.11450381679389313,"0"
3.0,1.0,0.1830309004113396,0.9190697674418604,0.08093023255813954,"0"
1.0,2.0,-1.6091647824928923,0.05260685767966181,0.9473931423203382,"1"
0.0,1.0,0.4195158928892352,0.9190697674418604,0.08093023255813954,"0"
0.0,3.0,-0.5967686413020205,0.6625,0.3375,"0"
1.0,3.0,-1.238706976638132,0.05260685767966181,0.9473931423203382,"1"
1.0,3.0,-1.2344650933649859,0.05260685767966181,0.9473931423203382,"1"
1.0,2.0,-1.5225596656661593,0.05260685767966181,0.9473931423203382,"1"
2.0,2.0,-0.6024244856662153,0.13179571663920922,0.8682042833607908,"1"
2.0,1.0,1.6192618786440602,0.9190697674418604,0.08093023255813954,"0"
0.0,3.0,1.2915763957935233,0.8457142857142858,0.15428571428571428,"0"
1.0,1.0,0.5640934144489653,0.9190697674418604,0.08093023255813954,"0"
2.0,2.0,-0.5518753766612241,0.13179571663920922,0.8682042833607908,"1"
1.0,3.0,-1.4225219184744635,0.05260685767966181,0.9473931423203382,"1"
2.0,1.0,0.881174189116637,0.9190697674418604,0.08093023255813954,"0"
1.0,2.0,-1.2673396887318682,0.05260685767966181,0.9473931423203382,"1"
1.0,2.0,-1.0227244199804424,0.05260685767966181,0.9473931423203382,"1"
1.0,2.0,-0.9103145132420706,0.05260685767966181,0.9473931423203382,"1"
1.0,3.0,0.45557190071097725,0.3333333333333333,0.6666666666666666,"1"
0.0,2.0,0.9851003293087167,0.8457142857142858,0.15428571428571428,"0"
0.0,0.0,1.1703292322360972,0.9190697674418604,0.08093023255813954,"0"
1.0,2.0,-0.7286205130423121,0.05260685767966181,0.9473931423203382,"1"
2.0,2.0,-0.784471976138736,0.05260685767966181,0.9473931423203382,"1"
1.0,1.0,-0.6706481083093152,0.12179487179487179,0.8782051282051282,"1"
1.0,1.0,-1.1358413072643385,0.12179487179487179,0.8782051282051282,"1"
2.0,2.0,-0.7236716492236416,0.05260685767966181,0.9473931423203382,"1"
3.0,2.0,0.44602766334639843,0.0,1.0,"1"
0.0,1.0,0.2714034686018836,0.9190697674418604,0.08093023255813954,"0"
2.0,3.0,-0.9824265288855544,0.05260685767966181,0.9473931423203382,"1"
0.0,0.0,-0.18742690544342067,0.8854961832061069,0.11450381679389313,"0"
1.0,2.0,-1.4730710274794547,0.05260685767966181,0.9473931423203382,"1"
2.0,1.0,-0.11602187034546127,0.43661971830985913,0.5633802816901409,"1"
2.0,2.0,-1.0255523421625399,0.05260685767966181,0.9473931423203382,"1"
2.0,2.0,-1.3263725642831514,0.05260685767966181,0.9473931423203382,"1"
3.0,0.0,0.18550533232067484,0.9190697674418604,0.08093023255813954,"0"
2.0,3.0,-1.0676176846212388,0.05260685767966181,0.9473931423203382,"1"
1.0,1.0,0.16005403268179821,0.9190697674418604,0.08093023255813954,"0"
0.0,1.0,0.44319974116430105,0.9190697674418604,0.08093023255813954,"0"
1.0,3.0,0.8702159906610095,0.7424749163879598,0.25752508361204013,"0"
3.0,0.0,0.11445378749547755,1.0,0.0,"0"
2.0,1.0,1.718946135562994,0.9190697674418604,0.08093023255813954,"0"
3.0,0.0,-0.23514809226631447,0.8288288288288288,0.17117117117117117,"0"
2.0,3.0,-0.3885628706450989,0.13179571663920922,0.8682042833607908,"1"
2.0,3.0,-1.4766059302070762,0.05260685767966181,0.9473931423203382,"1"
2.0,0.0,-1.0474687390737947,0.12179487179487179,0.8782051282051282,"1"
0.0,1.0,0.81507150811011,0.9190697674418604,0.08093023255813954,"0"
1.0,0.0,0.7634619282868326,0.9190697674418604,0.08093023255813954,"0"
2.0,3.0,-0.6094942911214588,0.0,1.0,"1"
1.0,3.0,0.16783081868256605,0.13179571663920922,0.8682042833607908,"1"
3.0,1.0,0.19999843350392418,0.9190697674418604,0.08093023255813954,"0"
3.0,1.0,1.7182391550174698,0.9190697674418604,0.08093023255813954,"0"
0.0,0.0,0.5510142743567649,0.9190697674418604,0.08093023255813954,"0"
2.0,2.0,0.6128750720901454,0.7424749163879598,0.25752508361204013,"0"
0.0,1.0,1.831002552028604,0.9190697674418604,0.08093023255813954,"0"
3.0,2.0,-0.2104037731729623,0.3387096774193548,0.6612903225806451,"1"
2.0,2.0,-1.5868948953088753,0.05260685767966181,0.9473931423203382,"1"
3.0,0.0,0.872690422570345,0.9190697674418604,0.08093023255813954,"0"
1.0,0.0,-0.34508356709535115,0.43661971830985913,0.5633802816901409,"1"
